Box Coordinates
=========================
Box 1: [4, 120, 634, 480]
Box 2: [483, 343, 639, 479]
Box 1: [1, 138, 637, 479]
Box 2: [475, 335, 639, 479]
Box 1: [0, 120, 617, 479]
Box 2: [461, 325, 638, 462]
Box 1: [0, 146, 634, 479]
Box 2: [421, 316, 588, 439]
Box 1: [403, 323, 639, 473]
Box 2: [1, 119, 614, 479]
Box 1: [402, 325, 639, 462]
Box 1: [400, 325, 639, 463]
Box 1: [397, 325, 639, 468]
Box 1: [398, 324, 639, 464]
Box 1: [1, 129, 625, 479]
Box 2: [405, 323, 639, 454]
Box 1: [0, 129, 630, 479]
Box 2: [412, 324, 638, 455]
Box 1: [433, 327, 610, 455]
Box 2: [1, 130, 639, 479]
Box 1: [458, 335, 639, 477]
Box 2: [0, 133, 603, 479]
Box 1: [484, 345, 639, 479]
Box 2: [1, 136, 633, 479]
Box 3: [0, 145, 443, 479]
Box 1: [488, 346, 639, 479]
Box 2: [2, 125, 623, 479]
Box 1: [4, 146, 586, 479]
Box 2: [513, 357, 639, 479]
Box 1: [543, 392, 639, 479]
Box 2: [6, 170, 495, 479]
Box 1: [547, 397, 639, 479]
Box 2: [1, 177, 390, 479]
Box 1: [547, 397, 639, 479]
Box 2: [2, 177, 389, 479]
Box 3: [0, 175, 547, 479]
Box 1: [550, 401, 639, 479]
Box 2: [1, 179, 391, 479]
Box 1: [550, 401, 639, 479]
Box 2: [1, 179, 391, 479]
Box 1: [28, 192, 518, 479]
Box 1: [45, 199, 423, 479]
Box 1: [44, 199, 423, 479]
Box 1: [45, 200, 424, 479]
Box 1: [51, 200, 424, 479]
Box 1: [40, 198, 423, 479]
Box 1: [36, 198, 423, 479]
Box 1: [36, 198, 423, 479]
Box 1: [32, 195, 423, 479]
Box 1: [29, 192, 423, 479]
Box 1: [28, 192, 422, 479]
Box 1: [22, 191, 422, 479]
Box 2: [577, 421, 639, 479]
Box 1: [24, 190, 421, 479]
Box 1: [23, 190, 421, 479]
Box 1: [17, 188, 419, 479]
Box 2: [574, 416, 639, 479]
Box 1: [16, 186, 418, 479]
Box 2: [573, 413, 639, 479]
Box 1: [12, 186, 418, 479]
Box 2: [573, 411, 639, 479]
Box 1: [8, 185, 417, 479]
Box 2: [573, 411, 639, 479]
Box 1: [8, 185, 417, 479]
Box 2: [573, 411, 639, 479]
Box 1: [12, 184, 416, 479]
Box 2: [572, 410, 639, 479]
Box 1: [11, 184, 416, 479]
Box 2: [572, 410, 639, 479]
Box 1: [8, 183, 414, 479]
Box 2: [571, 408, 639, 479]
Box 1: [17, 183, 414, 479]
Box 2: [572, 409, 639, 479]
Box 1: [15, 184, 415, 479]
Box 2: [572, 410, 639, 479]
Box 1: [13, 187, 418, 479]
Box 1: [10, 185, 416, 479]
Box 2: [572, 409, 639, 479]
Box 1: [12, 184, 417, 479]
Box 2: [573, 410, 639, 479]
Box 1: [9, 184, 416, 479]
Box 1: [13, 184, 414, 479]
Box 2: [572, 407, 639, 479]
Box 1: [15, 184, 415, 479]
Box 2: [571, 405, 639, 479]
Box 1: [568, 395, 639, 479]
Box 2: [11, 181, 410, 479]
Box 1: [567, 389, 639, 479]
Box 2: [4, 179, 527, 479]
Box 1: [19, 127, 476, 479]
Box 1: [28, 112, 639, 479]
Box 1: [39, 122, 635, 479]
Box 1: [40, 121, 626, 479]
Box 1: [36, 109, 637, 479]
